|node|,|area|,|name|,|grade|,|stars|,|latitude|,|longitude|,|tags|
|1445|,|Prebble Hill (aka Teapot)|,|Conan|,|V9|,|4|,|-43.211079874164|,|171.753905117510|,|[DT,2009,Compression,Prow,Slopers]|
|1446|,|Prebble Hill (aka Teapot)|,|Dark prow|,|V9|,|2|,|-43.212219565000|,|171.753060222000|,|[DT,2010,Unrepeated,Crimpers]|
|1447|,|Prebble Hill (aka Teapot)|,|Electric Soldier Porygon (ss)|,|V9|,|1|,|-43.211697616600|,|171.753054857000|,|[DT,2008,Dyno,Unrepeated]|
|1449|,|Prebble Hill (aka Teapot)|,|Mir Space Station|,|V8|,|2|,|-43.212172648500|,|171.758861840000|,|[GG,2008,Dyno,Unrepeated]|
|1450|,|Prebble Hill (aka Teapot)|,|Short easy|,|V8|,|0|,|-43.212295804295|,|171.753247976300|,|[DT,2008,Steep]|
|1451|,|Prebble Hill (aka Teapot)|,|Thunder Punch|,|V8|,|1|,|-43.213976953985|,|171.753950715070|,|[DT,2011,Dyno]|
|1452|,|Prebble Hill (aka Teapot)|,|Tombstone|,|V8|,|2|,|-43.208812158300|,|171.755270362000|,|[DT,2009,Unrepeated,Highball]|
|1453|,|Prebble Hill (aka Teapot)|,|Tropic Thunder|,|V8|,|1|,|-43.212602715300|,|171.754645407000|,|[JP,2011,Unrepeated]|
|1454|,|Wuthering Heights|,|Ancient Arts Arete|,|V10|,|3|,|-43.221449700000|,|171.713403800000|,|[DT,2006,Crimpers,Highball]|
|1455|,|Wuthering Heights|,|Annie Oakley (ss)|,|V12|,|2|,|-43.220271079600|,|171.714205742000|,|[DT,2007,Unrepeated,Crimpers]|
|1456|,|Wuthering Heights|,|Boss Tanaka (ss)|,|V10|,|2|,|-43.223421807700|,|171.711040735000|,|[DT,2008,Compression,Prow,Slopers]|
|1457|,|Wuthering Heights|,|Brutus|,|V9|,|1|,|-43.219657333200|,|171.714903116000|,|[DT,2004,Compression]|
|1458|,|Wuthering Heights|,|Californian Mountain Snake|,|V8|,|0|,|-43.220546700000|,|171.714093100000|,|[DT,JM,ZO,2010,Undercling,Dabpolice]|
|1459|,|Wuthering Heights|,|Copperhead|,|V8|,|1|,|-43.221385189400|,|171.713588834000|,|[DT,2001,Crimpers]|
|1460|,|Wuthering Heights|,|Coriolis Effect|,|V8|,|1|,|-43.223324082800|,|171.710777879000|,|[DT,2009,Dyno]|
|1461|,|Wuthering Heights|,|Deadly Viper Assassination Squad|,|V9|,|2|,|-43.223378808800|,|171.710933447000|,|[DT,2009,Compression,Face,Sitstart]|
|1462|,|Wuthering Heights|,|Fry Boulder|,|V9|,|0|,|-43.221496600000|,|171.713859700000|,|[DT,2009,Unrepeated,Sitstart]|
|1463|,|Wuthering Heights|,|Gogo Yubari|,|V8|,|0|,|-43.218898773193|,|171.715545654300|,|[DT,2009]|
|1464|,|Wuthering Heights|,|Gunslinger|,|V8|,|2|,|-43.220314080700|,|171.714168191000|,|[DT,2009,Slopers]|
|1465|,|Wuthering Heights|,|Hydraulics|,|V8|,|0|,|-43.219318389893|,|171.715545654300|,|[DT,2009,Mantle]|
|1466|,|Wuthering Heights|,|Jesse James|,|V8|,|0|,|-43.220264434814|,|171.714187622070|,|[DT,2009,Unrepeated]|
|1467|,|Wuthering Heights|,|Johnny Mo|,|V7|,|1|,|-43.223320173800|,|171.710820794000|,|[DT,2006]|
|1468|,|Wuthering Heights|,|Lady Snow Blood|,|V8|,|0|,|-43.222616700000|,|171.711420600000|,|[JM,2009,Mantle]|
|1469|,|Wuthering Heights|,|Okiniwa Steel|,|V8|,|2|,|-43.218601831300|,|171.715584397000|,|[DT,2008,Arete]|
|1470|,|Wuthering Heights|,|Oren Ishi'i|,|V11|,|3|,|-43.219880159000|,|171.713969707000|,|[DT,2008,Dyno,Mantle,Crimpers]|
|1471|,|Wuthering Heights|,|Powder Monkey|,|V8|,|2|,|-43.218994700000|,|171.715321500000|,|[DT,2009,Dyno,Unrepeated,Madness]|
|1472|,|Wuthering Heights|,|Powerlicious|,|V8|,|1|,|-43.222788500000|,|171.716241500000|,|[IV,2009,Slopers,Traverse]|
|1473|,|Wuthering Heights|,|Shadow Warrior|,|V9|,|3|,|-43.221439900000|,|171.713505700000|,|[DT,2008,power,Highball]|
|1474|,|Wuthering Heights|,|Shuriken|,|V11|,|2|,|-43.221414500000|,|171.713532500000|,|[DT,2009,Dyno,Highball,Driveby]|
|1475|,|Wuthering Heights|,|Sidewinder|,|V8|,|1|,|-43.223499987500|,|171.711067557000|,|[DT,2008,Compression,Swing]|
|1476|,|Wuthering Heights|,|Sloper Syndicate|,|V9|,|2|,|-43.220607300000|,|171.714254000000|,|[DT,2010,Slopers,Arete]|
|1477|,|Wuthering Heights|,|The Engorger|,|V9|,|0|,|-43.222319500000|,|171.716668000000|,|[IV,2009,Unrepeated,Traverse]|
|1493|,|Flock Hill|,|A Saucerful Of Secrets|,|V10|,|2|,|-43.184778965300|,|171.747392714000|,|[PA,2008,Dyno,Slopers,Morpho]|
|1494|,|Flock Hill|,|Acapulco|,|V11|,|3|,|-43.182613900000|,|171.746083800000|,|[DT,2009,pojo,Highball,Morpho]|
|1495|,|Flock Hill|,|Afterburner|,|V9|,|2|,|-43.182592415600|,|171.746622920000|,|[CS,2005,Prow,power,Pockets]|
|1496|,|Flock Hill|,|Angle of Repose|,|V8|,|1|,|-43.181907880400|,|171.748371720000|,|[JM,2008,Slopers,Mono,Pinch]|
|1497|,|Flock Hill|,|Apollo 10|,|V9|,|0|,|-43.184837600000|,|171.748116900000|,|[SL,2007]|
|1498|,|Flock Hill|,|Archbishop|,|V9|,|2|,|-43.185125129300|,|171.745555401000|,|[DT,2011,Slab]|
|1499|,|Flock Hill|,|Automorphism|,|V9|,|0|,|-43.185829185400|,|171.745775342000|,|[DT,2009,Compression,Contrived]|
|1500|,|Flock Hill|,|Axis|,|V8|,|0|,|-43.186355900000|,|171.745822000000|,|[DT,2003]|
|1501|,|Flock Hill|,|Bank Machine|,|V9|,|2|,|-43.182645200000|,|171.746199100000|,|[DT,2008,Dyno,Crimpers]|
|1502|,|Flock Hill|,|Battlescar Galactica|,|V8|,|0|,|-43.182310779200|,|171.745238900000|,|[DT,JM,2011,Dyno,Pinch]|
|1503|,|Flock Hill|,|Bringing Home the Bacon|,|V10|,|0|,|-43.186241836800|,|171.747950613000|,|[DT,2010,Unrepeated]|
|1504|,|Flock Hill|,|Camp America|,|V9|,|1|,|-43.184497300000|,|171.746990400000|,|[DH,2001,Compression,Oldschoolcool,JerryStart]|
|1505|,|Flock Hill|,|Captain Atom|,|V9|,|2|,|-43.185142730800|,|171.747086942000|,|[ZO,2011,Compression,Crimpers,Highball]|
|1506|,|Flock Hill|,|Captain Contact (ss)|,|V8|,|1|,|-43.183011000000|,|171.746593400000|,|[DT,2001,Crimpers,Sitstart]|
|1507|,|Flock Hill|,|Captain Crush|,|V10|,|1|,|-43.185477200000|,|171.746711400000|,|[JM,2008,Dyno,power,Badfeet]|
|1508|,|Flock Hill|,|Captain Hindsight|,|V8|,|2|,|-43.182842758000|,|171.746955514000|,|[DT,2012,Compression]|
|1509|,|Flock Hill|,|Captain Nemo|,|V8|,|2|,|-43.188416500000|,|171.748170600000|,|[IV,1999,Midgets,Oldschoolcool]|
|1510|,|Flock Hill|,|Captain Oblivious|,|V8|,|1|,|-43.182823181152|,|171.746948242190|,|[DT,2012,Unrepeated]|
|1511|,|Flock Hill|,|Captain Sassy Direct|,|V11|,|3|,|-43.185950438700|,|171.745753884000|,|[CS,2005,Dyno,Crimpers,Highball]|
|1512|,|Flock Hill|,|Captain Sassy Pants|,|V8|,|4|,|-43.185946500000|,|171.745748500000|,|[JS,2003,sloper jugs]|
|1513|,|Flock Hill|,|Cartman|,|V9|,|3|,|-43.182891652900|,|171.747569740000|,|[DT,2006,Compression,power]|
|1514|,|Flock Hill|,|Cartman (ss)|,|V10|,|2|,|-43.182913200000|,|171.747500000000|,|[DT,2006,Compression,power]|
|1515|,|Flock Hill|,|Chaos out of Order|,|V9|,|3|,|-43.186230102700|,|171.747829914000|,|[DT,2010,Compression,Prow,Highball]|
|1516|,|Flock Hill|,|Chewbacca Defense|,|V9|,|1|,|-43.184419109200|,|171.745756567000|,|[DT,2009,Unrepeated,Highstep]|
|1517|,|Flock Hill|,|Dyno Sore|,|V8|,|0|,|-43.186817400000|,|171.746748400000|,|[DT,2011,Dyno,Contrived]|
|1518|,|Flock Hill|,|Cool Aid|,|V8|,|1|,|-43.187592100000|,|171.749945300000|,|[DT,2010,Dyno]|
|1519|,|Flock Hill|,|Crozzle of Justice|,|V8|,|0|,|-43.186333754000|,|171.748932302000|,|[JM,2009,Midgets]|
|1520|,|Flock Hill|,|Dark Path|,|V10|,|3|,|-43.185649300000|,|171.747462500000|,|[DT,2011,Highball,Heels,Edges]|
|1521|,|Flock Hill|,|Darksider|,|V9|,|2|,|-43.185649300000|,|171.747435600000|,|[DT,2011,Dyno,Crimpers]|
|1522|,|Flock Hill|,|Depth Charge|,|V9|,|2|,|-43.186159697900|,|171.748768687000|,|[DT,2010,Slopers,Highball,Undercling]|
|1523|,|Flock Hill|,|Disconnect Extra|,|V8|,|1|,|-43.185485000000|,|171.746775800000|,|[DT,2002,Midgets,Crimpers,Campus]|
|1524|,|Flock Hill|,|Distorted Reality|,|V10|,|0|,|-43.185866343700|,|171.745743155000|,|[DT,JM,2008,pojo,Midgets,Traverse]|
|1525|,|Flock Hill|,|Don't Eat The Purple Berries|,|V8|,|0|,|-43.187275300000|,|171.746855900000|,|[DT,2002]|
|1526|,|Flock Hill|,|Down to the Bone|,|V8|,|1|,|-43.182319641113|,|171.748474121090|,|[DT,JM,2008,Crimpers]|
|1527|,|Flock Hill|,|Dr Manhattan|,|V9|,|2|,|-43.183908657500|,|171.747926474000|,|[DT,2009,Friendly]|
|1528|,|Flock Hill|,|Faraway|,|V10|,|3|,|-43.181221381700|,|171.748513877000|,|[DT,2010,Mantle,Crimpers]|
|1529|,|Flock Hill|,|Figurehead|,|V8|,|2|,|-43.182838846500|,|171.745901406000|,|[DT,2009,Midgets]|
|1530|,|Flock Hill|,|Gaston|,|V8|,|0|,|-43.185153961182|,|171.744964599610|,|[DT,2009,Unrepeated]|
|1531|,|Flock Hill|,|General Mayhem|,|V10|,|3|,|-43.185565200000|,|171.746486100000|,|[DT,2009,Slopers,Crimpers,Span,Kneebar,Undercling]|
|1532|,|Flock Hill|,|Ghola|,|V7|,|1|,|-43.184808301300|,|171.748409271000|,|[DA,2003,Slopers,Highstep,Friendly]|
|1533|,|Flock Hill|,|Ghola Left|,|V8|,|1|,|-43.184806823730|,|171.748413085940|,|[DT,2009,Unrepeated]|
|1534|,|Flock Hill|,|Girl Power|,|V9|,|0|,|-43.192642500000|,|171.749307800000|,|[DH,2001,Dyno]|
|1535|,|Flock Hill|,|Give the Dog a Bone|,|V8|,|1|,|-43.182319641113|,|171.748474121090|,|[PA,2010,Dyno,Unrepeated]|
|1536|,|Flock Hill|,|Golem|,|V8|,|3|,|-43.186681864800|,|171.746706069000|,|[JS,2003,Pockets,Sitstart,Slab]|,|Sit start in the huge huecos and climb to to long move off undercling to get established on the slab and crux.|
|1537|,|Flock Hill|,|Green Hornet|,|V9|,|3|,|-43.184779000000|,|171.745920200000|,|[DT,2009,Slopers,Friendly]|,|Awesome problem starting on hueco, move to edge then battle the slopers to glory.|
|1538|,|Flock Hill|,|Grooverider|,|V7|,|2|,|-43.185297232600|,|171.747588515000|,|[SL,Mantle,Midgets,Groove]|,|Propy mantle on the big edge to get into the groove.|
|1539|,|Flock Hill|,|Hipster|,|V8|,|2|,|-43.184254826400|,|171.745973825000|,|[JS,2003,Slopers,Rockover]|,g
|1540|,|Flock Hill|,|Hipster (ss)|,|V9|,|0|,|-43.184254826400|,|171.745973825000|,|[DT,2003,JerryStart]|,|Not really a sit start. Jerry start and dyno to perfect circle hold that is start of stand.|
|1541|,|Flock Hill|,|Hume Roof|,|V11|,|3|,|-43.183480300000|,|171.747373900000|,|[DT,2009,Slopers,power,Crimpers]|,|A great line that took years to be climbed after Dave Hume found it in 2002. Two small crimps guard the way to the powerful climbing over the roof. Well placed feet on smears make all the difference.|
|1542|,|Flock Hill|,|Hybrid|,|V9|,|0|,|-43.184194200000|,|171.746982300000|,|[DT,2003,JerryStart]|,g
|1543|,|Flock Hill|,|Jaws|,|V8|,|3|,|-43.187292000000|,|171.746912600000|,|[DT,2001,Highball]|,|Not really as big as the wave, but intimidating all the same.|
|1544|,|Flock Hill|,|Jetstream|,|V9|,|3|,|-43.188129000000|,|171.748232200000|,|[DT,2009,Highball,Span,Gaston]|,|up right diagonal feature|
|1545|,|Flock Hill|,|Kamikaze|,|V8|,|1|,|-43.185537800000|,|171.747486600000|,|[JM,2009,Dyno]|,|Committing sideways dyno from low pod up and right|
|1546|,|Flock Hill|,|Kiss the Sky|,|V10|,|2|,|-43.184608816200|,|171.746614873000|,|[CS,2005,Dyno,Compression,Morpho,Span]|,|Standing start on arete to massive span. Starts right in undercling and left on arete. First move is slapping left hand up high on arete, then do huge span right and grovel over the top.|
|1547|,|Flock Hill|,|Komodo|,|V10|,|1|,|-43.186218368500|,|171.748186648000|,|[JM,2010,Morpho,JerryStart,Toehook]|,|Jerry start (almost a sit, left hand on good yellow hold right on low small crimp).|
|1549|,|Flock Hill|,|Kosmonaut|,|V8|,|2|,|-43.188312900000|,|171.747685100000|,|[GG]|,g
|1550|,|Flock Hill|,|Left Trifecta|,|V8|,|2|,|-43.185678600000|,|171.749074500000|,|[CS,2005,padstack]|,|Start on the two opposing holds (normally off a teetering pile of pads..). First slap is the hardest move.|
|1551|,|Flock Hill|,|Limestone Orgasm|,|V8|,|1|,|-43.183850000000|,|171.746352000000|,|[DH,2001,Compression,Prow,Slopers]|,|Slap up the prow.|
|1552|,|Flock Hill|,|Liquidus Line|,|V10|,|3|,|-43.184816124300|,|171.745896041000|,|[ZO,2010,Unrepeated,Highball]|,|jump start, orange streak and pod|
|1553|,|Flock Hill|,|Lost for Words|,|V9|,|3|,|-43.185312878400|,|171.747451723000|,|[PA,2007,Dyno,Slopers,Morpho,Mono]|,|Starts with a little jump to a slopey pod then match and try to use the mono to get the good edge up high. Goes left to finish.|
|1554|,|Flock Hill|,|Middle Trifecta|,|V13|,|3|,|-43.185739223100|,|171.749109328000|,|[CS,2005,Dyno,Slopers,Highball,Brokenleg]|,|Start right hand on a pocket above your head and left gastoned on a lower pocket|
|1555|,|Flock Hill|,|Millennium|,|V8|,|2|,|-43.185627748000|,|171.745914817000|,|[DT,2008,Dyno,Slopers,Span]|,|Derek's 1000th problem over V6. A huge shoulder-destroying span to a sloper is the crux, followed by two dynos.|
|1556|,|Flock Hill|,|Misnomer|,|V8|,|0|,|-43.183509826660|,|171.747741699220|,|[MP,2003]|,g
|1557|,|Flock Hill|,|Möbius|,|V7|,|2|,|-43.185829185400|,|171.745775342000|,|[DT,2003,Compression,Prow,Slopers,Midgets,Friendly]|,|Sit start on the slanting rail. Wander up and circumnavigate your way under (or around for the smaller ones among us) to a powerful top out.|
|1558|,|Flock Hill|,|Mono Bulge|,|V8|,|0|,|-43.187294006348|,|171.746765136720|,|[DT,ZO,2011]|,g
|1559|,|Flock Hill|,|Monster Society of Evil|,|V9|,|3|,|-43.185950400000|,|171.746180400000|,|[DT,2007,Midgets,Crimpers,Highball]|,|Classic big looking line. Starts of a stack of rocks/pads so that you can pull on to small left hand undercling with a low right sidepull. Crux move is first thrutch followed by some hard moves getting established on the pinch.|
|1560|,|Flock Hill|,|Moonshadow|,|V9|,|0|,|-43.185383300000|,|171.748232200000|,|[JM,2008,Crimpers,Sitstart,Heels,Friendly]|,|Sit start way lower than you think, out right on the jug.|
|1561|,|Flock Hill|,|Morpheus|,|V9|,|0|,|-43.187209900000|,|171.746692700000|,|[DT,2003,Mantle,Sitstart,Undercling]|,g
|1562|,|Flock Hill|,|Nerve Ending|,|V8|,|3|,|-43.183558575200|,|171.747685075000|,|[Mullet Pete,2004,Mantle,Highball,Smears,Slab]|,|Put up by Mullet Pete the brit. A very off balance mantle leads to nice smearing and 'balancey' climbing up the arete.|
|1563|,|Flock Hill|,|Next to Purple Berries|,|V8|,|0|,|-43.187289300000|,|171.746870300000|,|[DT,2002]|,g
|1564|,|Flock Hill|,|Nomad|,|V8|,|0|,|-43.184074401855|,|171.745590209960|,|[DT,2003]|,g
|1565|,|Flock Hill|,|Non-Sequitar|,|V9|,|1|,|-43.184305675900|,|171.745772660000|,|[DT,2003,Slopers,Undercling,Heels]|,g
|1566|,|Flock Hill|,|Obelisk|,|V8|,|1|,|-43.185375500000|,|171.746749000000|,|[DT,2003,Mantle,Compression,Slopers]|,g
|1567|,|Flock Hill|,|One move to Pinch|,|V8|,|0|,|-43.186206817627|,|171.746307373050|,|[DT,2009]|,||
|1568|,|Flock Hill|,|Orbital|,|V9|,|0|,|-43.186363089300|,|171.748803556000|,|[IV,2003,Unrepeated]|,g
|1570|,|Flock Hill|,|Petes (ss)|,|V8|,|0|,|-43.184432799400|,|171.746153533000|,|[Mullet Pete,2004,Sitstart,Sidepull]|,|Short sit start. does not use adjacent block.|
|1571|,|Flock Hill|,|Petit Font assis|,|V8|,|0|,|-43.186363220215|,|171.748199462890|,|[DT,2010,Sitstart]|,g
|1572|,|Flock Hill|,|Pistol Grip Pump|,|V8|,|1|,|-43.185543060303|,|171.745513916020|,|[JM,2011,Dyno,Unrepeated,pojo]|,||
|1573|,|Flock Hill|,|Pokemon Problem|,|V9|,|0|,|-43.184391728800|,|171.745928228000|,|[DT,2009,Unrepeated,Sitstart]|,g
|1574|,|Flock Hill|,|Porky|,|V8|,|2|,|-43.186183166100|,|171.748012304000|,|[DT,2002,Prow,Midgets]|,||
|1575|,|Flock Hill|,|Prince Tui Teka|,|V9|,|2|,|-43.186175343400|,|171.746574640000|,|[DJ,2002,Steep,Highball,Span,Typewriter]|,|Sit start on the jugs and climb the positive edges. Long span out right to resting jug and then the crux typewriter move. Slab is easy but people have fallen - beware.|
|1576|,|Flock Hill|,|Privacy Invasion|,|V7|,|0|,|-43.187821100000|,|171.747254600000|,|[DT,2008,Pockets,Span]|,g
|1577|,|Flock Hill|,|Psycho Killer|,|V8|,|0|,|-43.186275083500|,|171.746805310000|,|[DJ,2001,JerryStart]|,|And almost sit start up the short dirty wall on the left.|
|1578|,|Flock Hill|,|Psychosis|,|V13|,|2|,|-43.184671399900|,|171.746655107000|,|[DT,2009,Mantle,Unrepeated,Slopers,Crimpers]|,|Awkward, unstable and brutally hard climbing. A desperate foot swing is the crux of this problem.|
|1579|,|Flock Hill|,|Quisling|,|V8|,|0|,|-43.184252870600|,|171.745858490000|,|[DT,2002,Unrepeated]|,g
|1580|,|Flock Hill|,|Rasta Arete|,|V8|,|1|,|-43.184497833252|,|171.745788574220|,|[DT,2010,Compression,Highball]|,|Tricky climbing up vague fridge feature.|
|1581|,|Flock Hill|,|Revisionist|,|V8|,|1|,|-43.183822604000|,|171.746939421000|,|[DT,2008,Midgets,Sitstart,Friendly]|,|Sit start on spanned holds, slap to cool orange hold and then pounce to positive sidepull.|
|1582|,|Flock Hill|,|Ricky Martins Back|,|V8|,|0|,|-43.184642063800|,|171.745410562000|,|[DT,2003,Midgets,Crimpers]|,||
|1583|,|Flock Hill|,|Right Trifecta|,|V8|,|1|,|-43.185768600000|,|171.749114700000|,|[CS,2005]|,g
|1584|,|Flock Hill|,|Sadukar sit|,|V7|,|0|,|-43.184820000000|,|171.748420000000|,|[DT,2008,Crimpers,Span]|,||
|1585|,|Flock Hill|,|Seduce & Destroy|,|V11|,|3|,|-43.182692161600|,|171.747695804000|,|[ZO,2011,Crimpers,Highball]|,|Follow the line of bad crimps and dishes. Crux is near the top.|
|1586|,|Flock Hill|,|She-Mail|,|V7|,|1|,|-43.186284900000|,|171.747422200000|,|[DJ,2002,Slopers,Span]|,|Renamed to be work friendly..|
|1587|,|Flock Hill|,|Singularity|,|V9|,|2|,|-43.184978449900|,|171.746901870000|,|[CS,2005,Dyno,Pockets,turnsoutshortfolkcanclimb,sharmaisagod]|,|Grab the singular high side-pull and crank to flat jug.|
|1588|,|Flock Hill|,|Sneaky Arete|,|V8|,|1|,|-43.186707200000|,|171.747230900000|,|[JM,2011,Sitstart,Sneaky]|,g
|1589|,|Flock Hill|,|Space Monkey|,|V9|,|2|,|-43.186382600000|,|171.747170100000|,|[DT,JM,2009,Pinch]|,|A balancey start out left leads to a jump to the massive runnel pinch and then topping out to the right.|
|1590|,|Flock Hill|,|Spider Monkey|,|V8|,|0|,|-43.184215545654|,|171.748870849610|,|[DT,2002]|,g
|1591|,|Flock Hill|,|Stonework's|,|V8|,|1|,|-43.184628373600|,|171.748141050000|,|[JS,2003,Compression,Arete]|,|Sit start the short arete.|
|1592|,|Flock Hill|,|Sunset Arete|,|V8|,|3|,|-43.184395600000|,|171.746057000000|,|[CJ,2003,Compression,Prow,Slopers]|,|Start low.|
|1593|,|Flock Hill|,|Super Shackti|,|V8|,|2|,|-43.184131622314|,|171.748275756840|,|[IV,2001]|,g
|1594|,|Flock Hill|,|Superman|,|V10|,|2|,|-43.185166200000|,|171.749176400000|,|[CS,2005,Dyno,Kneebar,Pinch]|,|start left hand in crimp pocket and right on sloper|
|1595|,|Flock Hill|,|The Crushinator|,|V8|,|1|,|-43.183243694900|,|171.747210324000|,|[DT,2011,Compression,Slopers]|,|Sit start the short steep compression line|
|1596|,|Flock Hill|,|The Gatekeeper|,|V11|,|3|,|-43.182711719600|,|171.746397614000|,|[DT,2011,Highball,Mono,Kneebar]|,|A spastically good climb. Lots of holds in all the wrong places. The second move is the crux but the rest could throw off you on any move. A long journey to top out.|
|1597|,|Flock Hill|,|The Green Room|,|V8|,|1|,|-43.184725200000|,|171.745912700000|,|[DT,2009,Steep]|,|An odd start detracts from this good problem. Steep snatchy moves to traverse up hill. The boulder is hidden away in the Badlands.|
|1598|,|Flock Hill|,|The Little Book of Calm|,|V12|,|2|,|-43.185768558700|,|171.746665835000|,|[SK,2010,Morpho,Smears,Heels,lockdown]|,|start left hand on good edge under overhang, right hand and heel on slope out right, big move over head, top out runnel|
|1599|,|Flock Hill|,|The New Black|,|V8|,|2|,|-43.184004489800|,|171.745633185000|,|[DT,2009,Slopers]|,|Start on high pads and move up sidepulls to slopers and last move to jug out left. Don't climb the gully to the right!|
|1600|,|Flock Hill|,|The Roots|,|V8|,|1|,|-43.184867858887|,|171.746887207030|,|[MP,2002]|,g
|1601|,|Flock Hill|,|The Vapor Trail|,|V10|,|3|,|-43.188195500000|,|171.748159800000|,|[DT,2003,Prow,Slopers,Crimpers,Span]|,|Vision by the one and only John Palmer. Starts on opposing edges, span to slopers around arete to the left. Climb back down from pod.|
|1602|,|Flock Hill|,|Triage|,|V8|,|1|,|-43.183792114258|,|171.748855590820|,|[DT,ZO,JM,2009]|,||
|1603|,|Flock Hill|,|Triangle Tangle Tango|,|V8|,|1|,|-43.187305700000|,|171.746127100000|,|[JP,2011]|,g
|1604|,|Flock Hill|,|Upside Down One|,|V8|,|0|,|-43.185142730800|,|171.745804846000|,|[DT,2009,Midgets]|,|Starts pulling on to the slopers and then knee-baring the slot. then reach out left to the holds on the wall and cut then climb the V6.|
